-33.8281	0.996482	0.736753	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-100	0	0	40
-62.8217	0	0	40
-58.1997	0	0	40
-100	0	0	40
-40.2867	0.301108	0.0148753	205
-46.8799	0.126655	0.231401	205
-79.8649	-0.465163	0	40
-52.5289	-0.133983	0	40
-75.3085	0	0	40
-100	0	0	40
-69.7265	0.19768	0	40
-28.7405	0.844254	0.160856	40
-15.2326	0.890674	0.351659	64
1.68803	0.918383	0.577008	79
2.07965	0.916907	0.612523	80
1.87473	0.929335	0.781008	82
-1.4721	0.926803	0.825701	79
-2.5646	0.947476	0.880145	79
-2.09698	0.966811	0.836915	80
-14.0609	0.951389	0.62575	80
-62.2335	0.0300993	0	43
-100	0	0	40
-28.6748	0.129359	0.00688096	40
-11.8632	0.546536	0.119854	96
-9.03967	0.298858	0.251149	97
-8.06392	0.920217	0.793003	70
-6.46351	0.985543	0.915489	72
-5.58016	0.979503	0.892367	72
0.392332	0.966591	0.686427	72
0.520415	0.940906	0.871744	72
-0.100646	0.938416	0.876065	70
0.568531	0.928817	0.856135	67
-0.705777	0.918793	0.87046	64
-2.66741	0.94484	0.888977	62
-4.07259	0.904588	0.826697	60
-5.6931	0.583424	0.363897	129
-20.1047	0.582186	0.305297	78
-39.9868	0.40755	0.0988812	188
-50.1825	0.328521	0.109875	172
-49.0118	0.218626	0	40
-28.9179	0.227148	0	40
-41.8209	-0.00506669	0.18063	60
-16.3932	-0.670606	0.2003	50
-13.5236	-0.522828	0.191757	122
-11.3433	-0.438403	0.157913	77
-19.7069	-0.0548085	0.152906	82
-16.3909	0.323092	0.255211	78
-14.9639	0.479265	0.251074	59
-15.0737	0.805918	0.687882	68
-13.2332	0.925079	0.83348	71
-15.1001	0.862433	0.77326	73
-19.3863	0.727916	0.434843	71
-9.53593	0.926342	0.777156	69
-5.30067	0.912388	0.888209	69
-4.99011	0.913755	0.90105	68
-5.17777	0.927016	0.91492	68
-5.06624	0.927391	0.916678	68
-5.06602	0.936064	0.913453	68
-5.37754	0.957184	0.917375	68
